1,20,3,2
-1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0,-1143181.2307210928,-4539349.93975363,-10189433.850848703,-18093638.225561436,-28897985.49326106,-42220517.58690241,-58061280.69983904,-76420307.24075785,-97297621.21771656,-120693241.13598956,-146607181.6984003,-175039454.86964497,-205990070.57686242,-239459037.1897747,-275446361.8608146,-313952050.77282196,-354976109.3239223,-398518542.26797825,-444579353.82359236,-493158547.7596017
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tank0,22682.07560662145,45196.81927845292,67714.77115727348,90234.04125662691,114035.68946591885,137837.86821518274,161640.4074324473,185443.2076360335,209246.20557604491,233049.35852989447,256852.63628057262,280656.01666691597,304459.48295231024,328263.02218708495,352066.62414572405,375870.28061256703,399673.9848873892,423477.73143412184,447281.5156259161,471085.3335562685
valve0,-0.0,-0.0,-0.0,-0.0,-6490.6667663947965,-7845.439993546164,-9200.23316668121,-10555.040843411924,-11909.859543534325,-13264.68690625488,-14619.521256295604,-15974.361361766685,-17329.206290314214,-18684.05531925315,-20038.90787706193,-21393.763503957645,-22748.621824546266,-24103.482528353095,-25458.34535566943,-26813.210087051044
