1,20,3,2
-1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0,-1143181.2306540143,-4539349.939615665,-10189433.850619772,-18093638.225243147,-28897985.49285012,-42220517.5864076,-58061280.69925766,-76420307.2400643,-97297621.21692525,-120693241.13509506,-146607181.69740942,-175039454.86857113,-205990070.5756875,-239459037.18851182,-275446361.85945374,-313952050.7713624,-354976109.322356,-398518542.2663361,-444579353.82184535,-493158547.7577695
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tank0,22682.075605956048,45196.8192777661,67714.7711565128,90234.04125583325,114035.68946510804,137837.86821437505,161640.40743163804,185443.20763519203,209246.20557519404,233049.3585290309,256852.63627970463,280656.01666605513,304459.48295144195,328263.0221862193,352066.6241448544,375870.28061169334,399673.98488650745,423477.7314332493,447281.5156250372,471085.33355539344
valve0,-0.0,-0.0,-0.0,-0.0,-6490.666766348647,-7845.439993500191,-9200.233166635147,-10555.040843364028,-11909.859543485894,-13264.686906205723,-14619.521256246198,-15974.361361717685,-17329.206290264792,-18684.055319203882,-20038.907877012432,-21393.763503907914,-22748.62182449608,-24103.482528303433,-25458.345355619404,-26813.210087001236
